Name,Type,Value_0,Value_1,Value_2,Value_3,Value_4,Threshold,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Value_45,Value_46,Value_47,Value_48,Value_49
List_15,meanList,74,64.0,6.0,,,-81.38450159513283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_16,meanList,47,76.0,84.0,51.0,61.0,331.69101388880426,80.0,21.0,71.0,70.0,7.0,14.0,15.0,25.0,45.0,50.0,68.0,40.0,5.0,11.0,30.0,48.0,41.0,13.0,45.0,41.0,83.0,89.0,18.0,16.0,73.0,85.0,76.0,,,,,,,,,,,,,,,,,,
List_17,sumList,31,28.0,42.0,9.0,40.0,-18.754164959438096,54.0,46.0,99.0,49.0,90.0,71.0,1.0,50.0,82.0,99.0,47.0,57.0,47.0,72.0,61.0,37.0,34.0,75.0,98.0,37.0,73.0,83.0,2.0,,,,,,,,,,,,,,,,,,,,,,
List_18,sumList,62,55.0,93.0,37.0,51.0,44.12130319316385,43.0,51.0,7.0,41.0,32.0,78.0,11.0,90.0,43.0,24.0,5.0,42.0,62.0,42.0,46.0,29.0,11.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_19,stdList,77,26.0,46.0,64.0,35.0,24.99680907603432,50.0,11.0,23.0,84.0,53.0,43.0,71.0,58.0,68.0,47.0,76.0,31.0,94.0,97.0,34.0,64.0,23.0,17.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,
List_20,stdList,17,28.0,37.0,41.0,42.0,1.4730107920564282,8.0,76.0,91.0,53.0,59.0,48.0,24.0,34.0,67.0,72.0,23.0,45.0,61.0,62.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_21,stdList,58,72.0,38.0,98.0,62.0,41.092923305340236,41.0,62.0,48.0,41.0,89.0,73.0,9.0,15.0,40.0,4.0,75.0,11.0,56.0,56.0,100.0,85.0,28.0,47.0,89.0,52.0,68.0,24.0,73.0,2.0,73.0,27.0,8.0,2.0,18.0,78.0,35.0,89.0,62.0,88.0,20.0,33.0,18.0,22.0,85.0,86.0,26.0,50.0,,,
List_22,meanList,80,22.0,64.0,80.0,47.0,-22.05296082881975,39.0,42.0,64.0,31.0,6.0,79.0,98.0,40.0,89.0,50.0,64.0,48.0,83.0,4.0,11.0,87.0,64.0,28.0,47.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
List_23,meanList,66,31.0,34.0,89.0,83.0,-4.1339381068162115,70.0,86.0,52.0,73.0,69.0,80.0,86.0,17.0,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_24,sumList,87,59.0,6.0,10.0,12.0,22.207202636498415,35.0,84.0,9.0,44.0,23.0,4.0,59.0,97.0,59.0,3.0,9.0,60.0,23.0,55.0,1.0,59.0,99.0,62.0,14.0,6.0,56.0,32.0,6.0,95.0,41.0,86.0,13.0,2.0,17.0,11.0,65.0,10.0,74.0,76.0,90.0,53.0,24.0,,,,,,,,
List_25,meanList,96,65.0,28.0,57.0,13.0,1135.1860535098297,57.0,71.0,67.0,19.0,64.0,26.0,94.0,46.0,24.0,90.0,85.0,54.0,49.0,55.0,94.0,73.0,89.0,67.0,90.0,31.0,88.0,94.0,6.0,35.0,2.0,60.0,76.0,10.0,15.0,15.0,61.0,58.0,,,,,,,,,,,,,
List_26,stdList,93,6.0,3.0,64.0,46.0,-13.68489884348142,74.0,61.0,17.0,56.0,77.0,60.0,20.0,88.0,19.0,37.0,25.0,60.0,37.0,51.0,53.0,35.0,24.0,13.0,41.0,79.0,45.0,49.0,63.0,13.0,2.0,31.0,67.0,85.0,95.0,31.0,99.0,,,,,,,,,,,,,,
List_27,sumList,88,27.0,8.0,15.0,82.0,-907.7399182192604,18.0,23.0,98.0,25.0,59.0,83.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_28,stdList,53,4.0,27.0,98.0,63.0,-1420.8451720972257,24.0,48.0,45.0,34.0,33.0,85.0,54.0,46.0,22.0,80.0,82.0,1.0,99.0,68.0,28.0,19.0,37.0,79.0,93.0,62.0,64.0,43.0,38.0,83.0,68.0,58.0,54.0,100.0,,,,,,,,,,,,,,,,,
List_29,meanList,100,31.0,31.0,39.0,54.0,-0.20170073431585991,47.0,69.0,47.0,61.0,9.0,79.0,41.0,84.0,22.0,12.0,64.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_30,stdList,99,64.0,,,,185.63250357247352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_31,stdList,87,71.0,89.0,80.0,81.0,-6.944360962984067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_32,meanList,63,76.0,20.0,45.0,13.0,1429.939833059074,77.0,43.0,22.0,84.0,64.0,88.0,78.0,80.0,86.0,98.0,81.0,77.0,43.0,19.0,36.0,11.0,16.0,86.0,10.0,94.0,12.0,32.0,49.0,40.0,3.0,78.0,81.0,24.0,92.0,27.0,4.0,93.0,34.0,55.0,34.0,74.0,87.0,74.0,37.0,,,,,,
List_33,stdList,42,42.0,27.0,53.0,100.0,0.18164927782686102,54.0,26.0,16.0,16.0,71.0,91.0,8.0,58.0,88.0,38.0,6.0,31.0,36.0,63.0,97.0,92.0,27.0,74.0,62.0,72.0,50.0,83.0,37.0,74.0,63.0,68.0,2.0,8.0,,,,,,,,,,,,,,,,,
List_34,meanList,40,90.0,33.0,87.0,5.0,47.647508418462785,89.0,4.0,19.0,79.0,8.0,10.0,50.0,54.0,44.0,54.0,97.0,4.0,16.0,88.0,1.0,33.0,56.0,75.0,1.0,6.0,78.0,17.0,43.0,2.0,47.0,88.0,53.0,4.0,27.0,74.0,,,,,,,,,,,,,,,
List_35,meanList,79,84.0,31.0,33.0,87.0,2035.3168723960805,62.0,49.0,37.0,38.0,41.0,32.0,43.0,5.0,65.0,87.0,79.0,12.0,41.0,32.0,47.0,98.0,49.0,62.0,38.0,7.0,27.0,81.0,1.0,81.0,,,,,,,,,,,,,,,,,,,,,
List_36,sumList,18,75.0,55.0,44.0,14.0,41.48413693899369,95.0,30.0,47.0,93.0,33.0,30.0,16.0,1.0,96.0,39.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_37,meanList,90,53.0,69.0,84.0,88.0,143.9180196906144,96.0,5.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_38,stdList,77,57.0,48.0,78.0,50.0,-356.6157074720313,9.0,80.0,73.0,59.0,39.0,44.0,19.0,24.0,58.0,9.0,66.0,79.0,72.0,81.0,51.0,7.0,84.0,56.0,49.0,24.0,48.0,69.0,48.0,1.0,,,,,,,,,,,,,,,,,,,,,
List_39,stdList,28,7.0,24.0,97.0,37.0,4.657088343189343,33.0,66.0,56.0,63.0,4.0,81.0,14.0,88.0,6.0,48.0,52.0,28.0,89.0,12.0,24.0,70.0,10.0,75.0,33.0,32.0,69.0,88.0,69.0,65.0,30.0,41.0,96.0,52.0,9.0,70.0,77.0,,,,,,,,,,,,,,
List_40,meanList,12,97.0,9.0,43.0,38.0,14.24516153991662,82.0,71.0,35.0,31.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_41,stdList,89,26.0,79.0,52.0,1.0,300.56696146637506,17.0,58.0,26.0,18.0,45.0,49.0,83.0,100.0,40.0,30.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_42,sumList,83,74.0,29.0,93.0,89.0,35.639959095897325,55.0,40.0,73.0,71.0,88.0,55.0,95.0,58.0,76.0,70.0,74.0,68.0,58.0,89.0,59.0,3.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_43,stdList,57,36.0,39.0,91.0,16.0,1426.5366858090604,72.0,17.0,47.0,2.0,22.0,84.0,13.0,2.0,15.0,55.0,37.0,46.0,54.0,86.0,69.0,68.0,15.0,44.0,91.0,27.0,14.0,33.0,57.0,62.0,64.0,44.0,86.0,49.0,67.0,,,,,,,,,,,,,,,,
List_44,meanList,53,9.0,61.0,45.0,71.0,134.17674996732796,5.0,66.0,41.0,75.0,63.0,96.0,14.0,40.0,43.0,14.0,45.0,23.0,29.0,59.0,54.0,48.0,5.0,5.0,8.0,80.0,38.0,66.0,44.0,68.0,3.0,71.0,66.0,63.0,20.0,8.0,43.0,,,,,,,,,,,,,,
List_45,sumList,51,30.0,60.0,,,2.0951746322600155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_46,meanList,42,84.0,13.0,98.0,57.0,-75.07524144271856,95.0,10.0,76.0,11.0,38.0,70.0,35.0,90.0,56.0,32.0,17.0,56.0,70.0,80.0,36.0,25.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_47,meanList,61,33.0,96.0,94.0,56.0,18.49117874726531,96.0,29.0,76.0,65.0,33.0,74.0,26.0,30.0,77.0,6.0,35.0,90.0,6.0,22.0,62.0,94.0,23.0,52.0,72.0,61.0,46.0,5.0,68.0,33.0,36.0,17.0,43.0,18.0,17.0,68.0,58.0,44.0,100.0,,,,,,,,,,,,
List_48,meanList,57,77.0,37.0,62.0,63.0,41.69512446197806,72.0,6.0,88.0,77.0,37.0,28.0,80.0,85.0,68.0,63.0,99.0,66.0,72.0,26.0,29.0,4.0,69.0,65.0,19.0,14.0,59.0,57.0,52.0,70.0,51.0,,,,,,,,,,,,,,,,,,,,
List_49,meanList,95,37.0,91.0,5.0,67.0,-142.09110244805834,56.0,70.0,85.0,96.0,23.0,47.0,80.0,53.0,41.0,78.0,78.0,5.0,82.0,64.0,90.0,70.0,6.0,97.0,31.0,99.0,92.0,66.0,100.0,44.0,67.0,94.0,56.0,94.0,85.0,27.0,80.0,92.0,72.0,99.0,85.0,94.0,42.0,88.0,65.0,,,,,,
List_50,stdList,54,4.0,47.0,63.0,64.0,21.73380886780988,2.0,95.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_51,sumList,6,76.0,98.0,73.0,16.0,4005.73554143872,91.0,58.0,61.0,70.0,89.0,79.0,19.0,24.0,23.0,43.0,31.0,79.0,61.0,16.0,45.0,4.0,15.0,33.0,38.0,10.0,85.0,29.0,32.0,68.0,51.0,10.0,97.0,63.0,44.0,4.0,45.0,49.0,26.0,79.0,84.0,31.0,28.0,85.0,45.0,48.0,40.0,10.0,50.0,,
List_52,stdList,21,97.0,50.0,55.0,27.0,1.5705953579868162,17.0,15.0,26.0,91.0,1.0,69.0,23.0,46.0,5.0,16.0,13.0,84.0,98.0,70.0,95.0,19.0,5.0,40.0,13.0,29.0,92.0,67.0,31.0,70.0,59.0,27.0,13.0,,,,,,,,,,,,,,,,,,
List_53,sumList,64,21.0,86.0,94.0,31.0,279.1627170513658,53.0,83.0,92.0,24.0,50.0,35.0,90.0,58.0,22.0,5.0,76.0,72.0,42.0,92.0,96.0,61.0,86.0,6.0,22.0,16.0,45.0,48.0,37.0,5.0,49.0,28.0,87.0,67.0,71.0,5.0,68.0,80.0,17.0,51.0,32.0,11.0,8.0,88.0,81.0,20.0,62.0,69.0,21.0,32.0,
List_54,meanList,42,68.0,31.0,30.0,65.0,1559.6690431999732,69.0,66.0,60.0,23.0,44.0,1.0,32.0,4.0,5.0,74.0,98.0,8.0,69.0,93.0,68.0,100.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_55,stdList,9,53.0,79.0,75.0,87.0,1198.1325089142179,6.0,66.0,47.0,49.0,74.0,69.0,46.0,49.0,24.0,63.0,28.0,54.0,44.0,73.0,74.0,39.0,32.0,54.0,18.0,36.0,95.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
List_56,sumList,34,51.0,47.0,88.0,62.0,-15.766505738962778,27.0,38.0,74.0,48.0,55.0,27.0,26.0,59.0,85.0,92.0,69.0,61.0,58.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_57,stdList,57,33.0,66.0,25.0,12.0,29.645690082494575,18.0,36.0,84.0,92.0,57.0,43.0,4.0,79.0,94.0,58.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_58,sumList,48,84.0,14.0,67.0,60.0,-31.09067797334911,73.0,35.0,49.0,7.0,93.0,36.0,87.0,25.0,88.0,15.0,26.0,59.0,82.0,68.0,99.0,71.0,4.0,36.0,41.0,32.0,22.0,45.0,89.0,8.0,2.0,92.0,46.0,33.0,15.0,81.0,96.0,5.0,47.0,97.0,49.0,33.0,62.0,20.0,39.0,46.0,66.0,61.0,,,
List_59,stdList,94,41.0,48.0,60.0,98.0,3.8671668470650156,41.0,9.0,96.0,76.0,11.0,29.0,18.0,55.0,63.0,76.0,96.0,21.0,53.0,84.0,28.0,21.0,90.0,16.0,34.0,100.0,66.0,64.0,45.0,68.0,49.0,51.0,,,,,,,,,,,,,,,,,,,
List_60,meanList,23,59.0,75.0,75.0,68.0,17.788397676640667,78.0,82.0,82.0,55.0,94.0,19.0,98.0,26.0,49.0,29.0,73.0,66.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_61,meanList,55,38.0,5.0,34.0,68.0,100.97293488569825,35.0,43.0,77.0,67.0,91.0,54.0,89.0,77.0,49.0,11.0,19.0,75.0,91.0,75.0,64.0,9.0,22.0,33.0,95.0,69.0,56.0,28.0,69.0,31.0,90.0,73.0,69.0,80.0,100.0,55.0,,,,,,,,,,,,,,,
List_62,stdList,26,25.0,10.0,62.0,70.0,26.3665406285433,26.0,45.0,67.0,100.0,80.0,33.0,33.0,55.0,11.0,24.0,66.0,92.0,27.0,78.0,10.0,95.0,8.0,45.0,63.0,64.0,81.0,70.0,73.0,,,,,,,,,,,,,,,,,,,,,,
List_63,stdList,82,47.0,89.0,55.0,41.0,12.117829800067645,97.0,39.0,66.0,74.0,87.0,70.0,67.0,87.0,22.0,73.0,41.0,51.0,22.0,42.0,65.0,53.0,54.0,5.0,82.0,42.0,57.0,23.0,90.0,49.0,61.0,49.0,49.0,75.0,65.0,1.0,44.0,28.0,,,,,,,,,,,,,
List_64,stdList,13,39.0,69.0,22.0,67.0,312.53293451017294,44.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_65,stdList,74,64.0,29.0,96.0,35.0,1321.1286086848543,53.0,7.0,95.0,58.0,14.0,25.0,20.0,8.0,15.0,92.0,19.0,60.0,71.0,68.0,26.0,43.0,98.0,18.0,93.0,91.0,1.0,66.0,71.0,22.0,7.0,85.0,74.0,10.0,49.0,28.0,21.0,37.0,35.0,72.0,9.0,,,,,,,,,,
List_66,meanList,33,88.0,24.0,26.0,52.0,41.081732374402,47.0,76.0,50.0,4.0,35.0,83.0,36.0,83.0,75.0,22.0,75.0,2.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_67,stdList,27,86.0,23.0,29.0,16.0,770.6072324212197,73.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_68,meanList,81,59.0,64.0,94.0,29.0,448.003657838781,20.0,8.0,67.0,20.0,35.0,41.0,75.0,41.0,12.0,47.0,35.0,13.0,20.0,51.0,49.0,62.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_69,sumList,5,40.0,81.0,56.0,20.0,967.921326559178,52.0,93.0,62.0,29.0,83.0,31.0,76.0,55.0,69.0,71.0,89.0,39.0,97.0,61.0,40.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_70,sumList,94,19.0,80.0,5.0,66.0,-1287.50530884073,28.0,27.0,72.0,53.0,25.0,45.0,42.0,46.0,80.0,43.0,43.0,84.0,77.0,86.0,17.0,43.0,31.0,38.0,96.0,90.0,89.0,54.0,,,,,,,,,,,,,,,,,,,,,,,
List_71,meanList,82,54.0,5.0,48.0,23.0,78.9052520075828,37.0,95.0,95.0,32.0,87.0,62.0,7.0,63.0,12.0,73.0,9.0,66.0,36.0,59.0,20.0,78.0,36.0,9.0,100.0,24.0,29.0,70.0,56.0,43.0,86.0,42.0,49.0,97.0,43.0,42.0,82.0,97.0,66.0,2.0,44.0,,,,,,,,,,
List_72,sumList,49,13.0,18.0,66.0,98.0,-0.807427468463619,70.0,94.0,49.0,81.0,6.0,24.0,50.0,45.0,68.0,1.0,78.0,67.0,52.0,29.0,46.0,11.0,8.0,36.0,30.0,7.0,44.0,23.0,29.0,6.0,82.0,82.0,85.0,40.0,72.0,66.0,30.0,5.0,28.0,72.0,64.0,,,,,,,,,,
List_73,stdList,38,53.0,24.0,100.0,16.0,48.07557894219166,21.0,12.0,44.0,52.0,52.0,46.0,10.0,8.0,91.0,20.0,97.0,98.0,25.0,4.0,7.0,54.0,8.0,30.0,93.0,100.0,34.0,89.0,,,,,,,,,,,,,,,,,,,,,,,
List_74,sumList,29,15.0,63.0,31.0,59.0,5.722594121382708,71.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_75,sumList,92,26.0,94.0,59.0,71.0,-84.30882130895131,71.0,96.0,77.0,18.0,98.0,68.0,24.0,43.0,79.0,37.0,10.0,11.0,50.0,57.0,80.0,98.0,96.0,83.0,77.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,
List_76,meanList,30,16.0,13.0,71.0,2.0,-494.4375591064557,73.0,32.0,12.0,63.0,76.0,9.0,8.0,68.0,12.0,37.0,81.0,82.0,25.0,66.0,83.0,99.0,5.0,60.0,55.0,4.0,30.0,64.0,43.0,24.0,92.0,4.0,73.0,65.0,15.0,,,,,,,,,,,,,,,,
List_77,stdList,65,37.0,10.0,24.0,24.0,-1.6236276115346222,64.0,63.0,98.0,12.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_78,meanList,57,6.0,13.0,88.0,40.0,-4.668684234098797,43.0,27.0,100.0,2.0,53.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_79,stdList,19,5.0,13.0,40.0,61.0,102.87931544421357,92.0,53.0,70.0,3.0,47.0,4.0,26.0,94.0,76.0,71.0,83.0,81.0,13.0,14.0,61.0,85.0,6.0,95.0,30.0,57.0,3.0,95.0,,,,,,,,,,,,,,,,,,,,,,,
List_80,sumList,17,4.0,73.0,33.0,90.0,-1481.240073043901,76.0,73.0,53.0,42.0,34.0,9.0,90.0,59.0,55.0,87.0,77.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_81,sumList,3,41.0,38.0,76.0,76.0,65.14514957653427,86.0,17.0,43.0,87.0,99.0,80.0,25.0,72.0,49.0,78.0,99.0,13.0,15.0,27.0,7.0,8.0,71.0,2.0,32.0,65.0,98.0,56.0,65.0,18.0,41.0,53.0,55.0,27.0,14.0,8.0,94.0,12.0,38.0,25.0,79.0,60.0,87.0,57.0,52.0,5.0,26.0,44.0,92.0,,
List_82,meanList,2,86.0,82.0,96.0,76.0,572.8591764510687,39.0,75.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_83,stdList,28,97.0,42.0,90.0,10.0,-815.9969876145318,3.0,81.0,16.0,56.0,74.0,17.0,58.0,63.0,93.0,9.0,13.0,97.0,62.0,94.0,77.0,21.0,98.0,80.0,27.0,40.0,60.0,17.0,63.0,70.0,70.0,42.0,,,,,,,,,,,,,,,,,,,
List_84,stdList,35,17.0,62.0,49.0,10.0,41.30221943588294,95.0,45.0,76.0,49.0,68.0,76.0,58.0,96.0,89.0,20.0,82.0,25.0,31.0,72.0,43.0,2.0,26.0,17.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,
List_85,sumList,16,46.0,73.0,82.0,61.0,-10.674851555168239,88.0,89.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_86,sumList,98,76.0,23.0,20.0,58.0,-127.65133732287353,22.0,97.0,13.0,49.0,78.0,52.0,73.0,13.0,41.0,5.0,36.0,95.0,60.0,8.0,29.0,73.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_87,meanList,7,82.0,88.0,7.0,33.0,96.65064838512617,32.0,61.0,29.0,8.0,75.0,14.0,74.0,71.0,16.0,97.0,96.0,84.0,14.0,24.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_88,meanList,3,43.0,18.0,24.0,19.0,68.58127765165695,60.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_89,stdList,24,39.0,61.0,2.0,59.0,46.21136538154857,48.0,73.0,27.0,64.0,87.0,6.0,93.0,96.0,2.0,89.0,82.0,46.0,68.0,10.0,73.0,39.0,96.0,16.0,88.0,51.0,100.0,36.0,89.0,37.0,79.0,62.0,93.0,64.0,94.0,23.0,74.0,87.0,29.0,99.0,7.0,20.0,46.0,72.0,75.0,38.0,,,,,
List_90,stdList,99,23.0,63.0,8.0,21.0,-3197.517328183778,41.0,83.0,12.0,60.0,19.0,12.0,17.0,13.0,67.0,86.0,94.0,87.0,31.0,21.0,73.0,68.0,47.0,59.0,15.0,8.0,65.0,53.0,17.0,63.0,60.0,9.0,76.0,,,,,,,,,,,,,,,,,,
List_91,sumList,98,1.0,8.0,89.0,49.0,38.840924135142856,34.0,70.0,36.0,95.0,29.0,53.0,6.0,5.0,87.0,25.0,14.0,56.0,49.0,85.0,31.0,86.0,40.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_92,stdList,82,84.0,19.0,96.0,46.0,282.03370149755534,28.0,81.0,45.0,48.0,38.0,23.0,91.0,21.0,27.0,15.0,78.0,64.0,72.0,16.0,8.0,38.0,7.0,32.0,59.0,77.0,67.0,45.0,58.0,67.0,61.0,59.0,47.0,24.0,85.0,51.0,,,,,,,,,,,,,,,
List_93,sumList,45,68.0,13.0,30.0,62.0,-12.705958463899403,95.0,24.0,66.0,51.0,53.0,6.0,95.0,92.0,3.0,12.0,77.0,80.0,45.0,78.0,99.0,46.0,59.0,42.0,37.0,48.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
List_94,meanList,49,42.0,97.0,59.0,25.0,93.93425703900945,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
