Year,attend_no,attend,AbEd_ID,EPSB_ID,School_Nam,Sch_Type,Grades,Sch_Addres,Sch_City,Sch_Postal,School_Web,School_EMa,School_Pho,Latitude,Longitude,Sector,epsb_ward,max_year,Catchment Polygon
2021,,,7911,231,Talmud Torah,EJ,K to Gr 6,6320 - 172 Street NW,Edmonton,T5T6H1,http://talmudtorahsociety.com,talmudt@epsb.ca,(780) 487-9290,-113.6218021,53.49976785,West,EPSB WARD E,TRUE,
2021,,,2269,805,Aleda Patterson,EL,K to 3,9220 165 Street NW,Edmonton,T5R2R4,,,,53.52748796,-113.6082939,Northwest,EPSB WARD E,TRUE,
2021,121,Dovercourt,7121,121,Dovercourt,EL,K to Gr 6,13910 - 122 Avenue NW,Edmonton,T5L2W3,http://dovercourt.epsb.ca,dovercourt@epsb.ca,(780) 455-6171,-113.5614806,53.57363673,Northwest,EPSB WARD C,TRUE,"MULTIPOLYGON (((-113.5411962230942 53.58068048220126, -113.53909940368563 53.58057852273218, -113.530960148762 53.58067754514128, -113.53094740565793 53.5702971377435, -113.53103344829921 53.57029736544295, -113.53109286056174 53.57029752284914, -113.53109314435747 53.570297523961514, -113.53444819235662 53.570306366276554, -113.53598260190661 53.570310378645246, -113.5361276946354 53.570310757122684, -113.54117052479393 53.57032379937248, -113.5442671452466 53.570308809332545, -113.54451158609153 53.570307622288865, -113.54811396746214 53.57029007571556, -113.54899075643628 53.57005871093595, -113.54904098645163 53.57005111127115, -113.54917938201176 53.57003017084151, -113.54925473751321 53.57001876946003, -113.54947404853239 53.57002374349577, -113.54962542431007 53.57004747027198, -113.54971294448391 53.57006118879419, -113.54960067823734 53.56984748822873, -113.54950882947062 53.56967264870006, -113.54951100902068 53.56951060426242, -113.54955399707231 53.56631355928832, -113.54981899949014 53.565782147915066, -113.55132798988144 53.56398872416421, -113.55142362979022 53.563713070122034, -113.55140312399213 53.558904107485446, -113.56576346677852 53.55889471063157, -113.56579179427678 53.57035961160611, -113.56579179650429 53.57036072047972, -113.56579181431519 53.570367676563855, -113.56585072973914 53.58121789966378, -113.556996525526 53.58114255800075, -113.54770891549636 53.581057249426784, -113.54418245212649 53.58090647328048, -113.5411962230942 53.58068048220126)))"
2021,,,349,349,Argyll Centre,SP,K to Gr 12,6859 - 100 Avenue NW,Edmonton,T6A0G3,http://argyll.epsb.ca,argyll@epsb.ca,(780) 465-1299,-113.4344945,53.53972226,South Central,EPSB WARD D,TRUE,
2021,,,7704,704,Braemar,SP,Gr 8-12,9359 - 67A Street NW,Edmonton,T6B1R7,http://braemar.epsb.ca,braemar@epsb.ca,(780) 468-3000,-113.4307705,53.53146816,South Central,EPSB WARD G,TRUE,
2021,,,386,386,L. S. on Whyte,SP,Gr 10-12,10007 - 82 Avenue NW,Edmonton,T6E1Z2,http://outreach.epsb.ca,lswhyte@epsb.ca,(780) 437-8119,-113.4893353,53.51774186,South Central,EPSB WARD G,TRUE,
2021,,,7702,702,L. Y. Cairns,SP,Gr 7-12,10510 - 45 Avenue NW,Edmonton,T6H0A1,http://lycairns.epsb.ca/,lycairns@epsb.ca,(780) 434-9561,-113.5007944,53.48371587,South Central,EPSB WARD F,TRUE,
2021,,,484,484,amiskwaciy Academy,JS,Gr 7-12,101 Airport Road NW,Edmonton,T5G3K2,http://amiskwaciy.epsb.ca/,amiskwaciy@epsb.ca,(780) 424-1270,-113.5232033,53.57096758,Central,EPSB WARD C,TRUE,
2021,,,17,17,Centre High,SR,Gr 10-12,10050 MacDonald Drive NW,Edmonton,T5J2B7,http://centrehigh.epsb.ca,centrehigh@epsb.ca,(780) 425-6753,-113.4986002,53.54332823,Central,EPSB WARD D,TRUE,
2021,,,7701,701,Glenrose Hospital,SP,K to Gr 12,10230 - 111 Avenue NW,Edmonton,T5G0B7,https://epsb.ca/programs/specializedprograms/hospitalstaysandmedicalneeds/,glenrose@epsb.ca,(780) 735-7987,-113.4960639,53.55935443,Central,EPSB WARD C,TRUE,
2021,,,7161,161,Prince Charles,EL,K to Gr 6,12325 - 127 Street NW,Edmonton,T5L0Z9,http://princecharles.epsb.ca,pcharles@epsb.ca,(780) 455-5533,-113.5401604,53.57857966,Central,EPSB WARD C,TRUE,
2021,,,325,325,Transitions at the Y,SP,Gr 9-12,10211 105 Street,Edmonton,T5J1E3,http://outreach.epsb.ca,transitions.at.y@epsb.ca,(780) 429-5737,-113.4985389,53.57084932,Central,EPSB WARD C,TRUE,
2021,,,7909,909,Millwoods Christian,EJS,K to Gr 12,8704 Millwoods Road NW,Edmonton,T6K3J3,http://mcs.epsb.ca,millwoodsch@epsb.ca,(780) 462-2627,-113.4623005,53.47537016,Southeast 1,EPSB WARD G,TRUE,
2021,,,1282,906,Edm Christian NE,EJ,K to Gr 9,5940 - 159 Avenue NW,Edmonton,T5Y0J5,http://edmchristian.net,ecsne@epsb.ca,(780) 408-7942,-113.4318172,53.62032929,North,EPSB WARD B,TRUE,
2021,,,7184,184,Glengarry,EL,K to Gr 6,9211 - 135 Avenue NW,Edmonton,T5E1N7,http://glengarry.epsb.ca,glengarry@epsb.ca,(780) 476-5373,-113.4840734,53.59623325,North,EPSB WARD A,TRUE,
2021,,,7706,706,Institut Serv Schs,SP,Gr 4-12,18621 - 127 Street NW,Edmonton,T6V1B1,https://epsb.ca/programs/specializedprograms/youngoffenders/,kennedale@epsb.ca,(780) 408-8209,-113.5386185,53.64881013,North,EPSB WARD A,TRUE,
2021,,,7722,722,L. S. at Northgate,SP,Gr 10-12,2014 9499-137 Avenue NW,Edmonton,T5E5R8,http://outreach.epsb.ca,lslondonderry@epsb.ca,(780) 457-3467,-113.4888542,53.59791294,North,EPSB WARD A,TRUE,
2021,,,7729,729,Rosecrest,SP,K to Gr 12,10205 - 134 AVENUE,Edmonton,T5E1J2,,instsrvs@epsb.ca,(780) 475-3565,-113.4960072,53.59409803,North,EPSB WARD A,TRUE,
2021,,,7707,707,Aspen Program,SP,Gr 2-12,11031 - 154 St,Edmonton,T5P2K2,,woodside@epsb.ca,(780) 457-2485,-113.5867475,53.55690029,Northwest,EPSB WARD C,TRUE,
2021,,,7905,905,Edm Christian High,SR,Gr 10-12,14304-109 Avenue NW,Edmonton,T5N1H6,http://edmchristian.net,ecssh@epsb.ca,(780) 408-7945,-113.5682882,53.55465915,Northwest,EPSB WARD C,TRUE,
2021,,,1283,904,Edm Christian West,EJ,K to Gr 9,14345 McQueen Road NW,Edmonton,T5N3L5,http://edmchristian.net,ecswest@epsb.ca,(780) 408-7948,-113.5688308,53.55557298,Northwest,EPSB WARD C,TRUE,
2021,,,7204,204,Elmwood,EL,K to Gr 6,16325 - 83 Avenue NW,Edmonton,T5R3V8,http://elmwood.epsb.ca,elmwood@epsb.ca,(780) 489-6749,-113.604687,53.51634289,Northwest,EPSB WARD E,TRUE,
2021,,,1022,770,L. S. at West Edm,SP,Gr 10-12,9532 163 St NW,Edmonton,T5P 3M,http://outreach.epsb.ca,lswested@epsb.ca,(780) 443-8072,-113.6038136,53.53251505,Northwest,EPSB WARD E,TRUE,
2021,,,7931,931,Meadowlark Christian,EJ,K to Gr 9,9825-158 Street NW,Edmonton,T5P2X4,http://k-9christian.com,meadowlarkchristian@epsb.ca,(780) 483-6476,-113.5933341,53.53670881,Northwest,EPSB WARD E,TRUE,
2021,,,7211,211,Rio Terrace,EL,K to Gr 6,7608 - 154 Street NW,Edmonton,T5R1R7,http://rioterrace.epsb.ca,rioterrace@epsb.ca,(780) 481-6866,-113.5862098,53.50869533,Northwest,EPSB WARD E,TRUE,
2021,,,7553,553,Stratford,EJ,K to Gr 9,8715 - 153 Street NW,Edmonton,T5R1P1,http://stratford.epsb.ca,stratford@epsb.ca,(780) 484-3381,-113.584737,53.52003386,Northwest,EPSB WARD E,TRUE,
2021,,,7730,730,AB School for Deaf,EJS,Gr 1-12,6240 - 113 Street NW,Edmonton,T6H3L2,http://asd.epsb.ca,abschdeaf@epsb.ca,(780) 439-3323,-113.5242917,53.49972726,South Central,EPSB WARD F,TRUE,
2021,,,18,18,Academy King Edward,EJS,Gr 2-12,8525-101 Street NW,Edmonton,T6E3Z4,http://kingedward.epsb.ca,academy@epsb.ca,(780) 439-1368,-113.4905169,53.5215256,South Central,EPSB WARD F,TRUE,
2021,S02,Lillian Osborne / Strathcona,,,,,,,,,,,,,,,,TRUE,"MULTIPOLYGON (((-113.56041743310283 53.499154534389305, -113.5597074730451 53.499003391053, -113.55917323448153 53.499172723261864, -113.5588880002316 53.49908500506016, -113.55846366225887 53.498871497870134, -113.55821993552411 53.49836138460603, -113.55829749067274 53.49774637800184, -113.55858894465183 53.49708973816713, -113.55894753896986 53.49681523478705, -113.55919685372314 53.49690135123288, -113.55930040883479 53.49709236327029, -113.55941235799152 53.49772206317279, -113.55996802965444 53.498149246528925, -113.56042755770684 53.49817858731207, -113.56082681845517 53.497824449687094, -113.56125565192166 53.49722686121231, -113.56165354422244 53.496591811648315, -113.56161645057485 53.49630899223965, -113.5613733378282 53.496166444193946, -113.56098137749395 53.49622865352246, -113.56082994999026 53.4965354923236, -113.56040760347311 53.496672100517024, -113.55991045303902 53.49658540688945, -113.5596636446779 53.49637231917978, -113.55955106774783 53.49612993684195, -113.55966804071197 53.49594799574217, -113.56040121752251 53.49565327374923, -113.56159195739313 53.49473448209508, -113.56185574527477 53.49423745982988, -113.56083908175545 53.49368708889113, -113.56032971580011 53.493709514702665, -113.56014934524184 53.49342946547017, -113.56065804423233 53.492554206737864, -113.56173248343045 53.49204191074121, -113.56188029761309 53.49186123068083, -113.5615033895161 53.49154911947084, -113.56052813648135 53.49133298136781, -113.56032228151594 53.491176576688936, -113.55923465650213 53.48990540529848, -113.55831915603626 53.48883533902033, -113.55825636403446 53.488512632870176, -113.55886089514277 53.488144387882244, -113.55911396266508 53.48765012623565, -113.55941432243162 53.48688794789213, -113.55933924991254 53.486505241869175, -113.55913450156959 53.48638281539384, -113.55855859944077 53.48633262325336, -113.55798404670279 53.48638464092418, -113.55734984940116 53.48628571154509, -113.55607265010595 53.485983930948436, -113.55486258012695 53.48606429488325, -113.55386812196548 53.48593328134354, -113.55294726326981 53.485569148457124, -113.55256053871126 53.48514335183974, -113.55291929361908 53.4848476595587, -113.55359611215381 53.48474410872202, -113.55394079053553 53.48459008022538, -113.55444992201488 53.484093961854626, -113.55462117213523 53.48378182170283, -113.5545069996178 53.483538005557556, -113.55425162297503 53.48328257931851, -113.55417185111205 53.482945034213564, -113.55444694134512 53.48253084922909, -113.55604128611773 53.48116406849899, -113.55575999939907 53.48082800506962, -113.55462459500679 53.480687540460565, -113.55468118244798 53.48046112230288, -113.55519657514259 53.4800132341758, -113.55583832153289 53.47910875423547, -113.55694322007632 53.47798653945151, -113.55641260862323 53.47767440291454, -113.55529525916423 53.47755415469227, -113.55447306116994 53.47711578835555, -113.55355895314416 53.47616921514413, -113.55379291424313 53.47588714387718, -113.55426699116212 53.47589617374521, -113.55490946248736 53.47607995247306, -113.55530573185897 53.47597766527093, -113.55538069770654 53.473947420025006, -113.55551670168576 53.47373027378575, -113.55580418974448 53.4736233208776, -113.55644118036751 53.47368293722882, -113.55736256198074 53.47393303069896, -113.55800356991789 53.47425462511968, -113.55864579187165 53.47446014721577, -113.5591519096521 53.474436854243045, -113.55937151450271 53.4736502848398, -113.56019066920723 53.47326260501335, -113.5614942421091 53.47293987028043, -113.56328354080534 53.472728797264224, -113.56406790092404 53.47249930766098, -113.56393394582055 53.47213627504412, -113.56265771999446 53.47141030658219, -113.56287385807902 53.471189257670765, -113.56364387619551 53.470785810482546, -113.56496052148992 53.46915554586329, -113.56497682861112 53.46874933479281, -113.5647009999367 53.46852000619658, -113.56382599939847 53.468317005255905, -113.5621161644995 53.4691378730403, -113.56038612670909 53.469634817232674, -113.56007071056766 53.46944955020494, -113.56040386600344 53.46897195646293, -113.56044618352549 53.468406226915526, -113.56014665137485 53.46798433716599, -113.5596169991051 53.46765300541294, -113.55911758740406 53.46758150994066, -113.55829707853273 53.46816611339864, -113.55749119310055 53.46851135587643, -113.55629117279587 53.46858289711492, -113.55590063991497 53.46833131379127, -113.55733310886978 53.46734997906736, -113.5581485563923 53.46608339637922, -113.55827493229155 53.46561954711053, -113.55806300053032 53.46522000599893, -113.55744276126696 53.4649925312957, -113.5568816110617 53.46518632186923, -113.55534976236775 53.466377674240796, -113.55402027654631 53.46678369838646, -113.55307191493532 53.466833451796326, -113.55228275904146 53.466743423236565, -113.55193178440949 53.46642241895183, -113.55192369488795 53.46621246061082, -113.55277819943908 53.46586744021113, -113.55362282121322 53.46530472700051, -113.55400553826196 53.4644274540476, -113.55377780072558 53.463547967308486, -113.55338931715872 53.46296430232282, -113.55425183140065 53.46130942097335, -113.56787020403038 53.46131891073544, -113.5872120684763 53.461334340616034, -113.59419701548745 53.46135019957462, -113.59419813724047 53.4613502024856, -113.6042392813512 53.46137492841408, -113.60459626469944 53.4613757921231, -113.60944949871582 53.46138742645484, -113.61252574923813 53.46139469888285, -113.61269370415252 53.461395093325876, -113.61048095891061 53.46265121857621, -113.6104790392699 53.462650204977706, -113.61041098285274 53.46269551114177, -113.60996514039954 53.46294948365907, -113.60833355083389 53.4640784252, -113.60827313259246 53.46412023083314, -113.60823235360846 53.46414844466428, -113.60730459185116 53.46496029481937, -113.6062287774064 53.466134108286404, -113.60559616604297 53.46707516937019, -113.60529169090526 53.468279162210095, -113.60521268385914 53.4685915666447, -113.6052178569389 53.4692527896691, -113.6053995094561 53.47012909776707, -113.60540243871728 53.470143226371555, -113.60544464058819 53.47021395857736, -113.6061611892575 53.47141487039577, -113.6066337682312 53.47188636110746, -113.60801225821162 53.47294958989881, -113.60885657135321 53.47344936811775, -113.60952498954457 53.473766101662385, -113.60961096973361 53.47380684236546, -113.60991034093732 53.47390192301207, -113.61063509094004 53.47413209787919, -113.6129608459851 53.47470857003427, -113.61656191561453 53.47560103152955, -113.61970695754843 53.47649682502799, -113.62052488347295 53.47672977020566, -113.62086219229626 53.47686670201421, -113.62148624168023 53.47706649940002, -113.6223662765475 53.47747726965947, -113.62263885228086 53.477587915194924, -113.62369515533243 53.478097517119735, -113.62417107182436 53.47838938225867, -113.62480782324239 53.47877987561488, -113.62513495069746 53.479068874885456, -113.62534371789438 53.47925330707308, -113.62609294089474 53.48013482358515, -113.62614476497423 53.48022009538208, -113.62726717103845 53.482066808887836, -113.62771261776504 53.48345314439448, -113.62777417722847 53.48364472382215, -113.62784519267814 53.48434681511202, -113.62764392946447 53.48530119363176, -113.62725136334127 53.48607087799177, -113.62552161069975 53.487526743923446, -113.6241266249514 53.48820122440064, -113.6226943379257 53.48872599087415, -113.62153425580907 53.48900997474659, -113.62004427056281 53.489203951612744, -113.61829111376683 53.48922978368324, -113.6164600145148 53.489039824833114, -113.61510128789986 53.488774466333275, -113.61463039036278 53.48868875690888, -113.61287953593082 53.488165326343015, -113.61099568402442 53.48742282002638, -113.6083079296322 53.48599879231195, -113.60431869289074 53.48348882975594, -113.60260703641701 53.48253670452471, -113.60259155630274 53.48252809292815, -113.60095899654557 53.481774757528314, -113.60041701674365 53.48158915922975, -113.59922853426906 53.481182155635004, -113.59762884603096 53.480886360890544, -113.59666391281037 53.480820418866166, -113.59580358843648 53.48080575681157, -113.59358834362632 53.48098239684944, -113.59268695879173 53.481139972273176, -113.59214177273748 53.48131212197126, -113.59157455431033 53.48149122549393, -113.59125067387117 53.481593491299726, -113.59071977314724 53.48184415421945, -113.59039582890797 53.48205280356121, -113.59011517704096 53.48223356576448, -113.588987539381 53.483216297014614, -113.58834606528777 53.48413281404308, -113.58812583035818 53.48455503931756, -113.58785351097187 53.48507710307052, -113.5873514778568 53.488062901623316, -113.58739537509692 53.4892746624867, -113.58766448739816 53.4902216424595, -113.5893555107386 53.493790498313736, -113.59012647668911 53.4952534602437, -113.59069325404802 53.49632889270857, -113.59079607107381 53.49670283692941, -113.59087914744772 53.49700498325925, -113.59103180596126 53.49756018009851, -113.5910368028627 53.49821753445735, -113.59063976465413 53.4993220779518, -113.59059922556602 53.4994348577321, -113.59024681673075 53.50003620215356, -113.58951273279307 53.50085525405662, -113.58857975708719 53.50150095926515, -113.58737717192672 53.502165001024785, -113.58669797176653 53.50246056799415, -113.5863609079899 53.5026072458868, -113.5833425490138 53.50364525668319, -113.58265014427515 53.50386060546532, -113.58167107386073 53.50419126812059, -113.58037047376504 53.50456957976681, -113.57820149448315 53.50507961337642, -113.5781033801956 53.50509933298157, -113.57776058133604 53.50516822998069, -113.57501482631504 53.50572003890502, -113.5738542709521 53.50586667082273, -113.57245390769997 53.50604358688392, -113.57243516132286 53.50604595415663, -113.56709073399044 53.50641092202264, -113.56670629710858 53.50643716584593, -113.5654981574704 53.50649917788954, -113.56184900223154 53.50668640702914, -113.5618410603905 53.50663447993786, -113.5616860191689 53.5056207092636, -113.56185242805098 53.50489706213833, -113.56165855871848 53.50434494077949, -113.5610264532052 53.503711872829165, -113.560896979721 53.503366279225894, -113.56137932947763 53.502467899664985, -113.56106439566241 53.501957540294676, -113.56042817130118 53.501552079358255, -113.55986662517272 53.500807414941804, -113.5598339146733 53.50053147664725, -113.56019144720875 53.50036306406017, -113.5608764028174 53.49949569638867, -113.56041743310283 53.499154534389305)))"
2021,937,Hilwie Hamdon,1931,937,Hilwie Hamdon,EJ,K to Gr 9,13815 Cumberland Road NW,Edmonton,T6V1V4,http://hilwiehamdon.epsb.ca,hilwiehamdon@epsb.ca,(587) 489-4712,-113.558242,53.6074839,North,EPSB WARD A,TRUE,"MULTIPOLYGON (((-113.54117499981734 53.599473005106745, -113.56866492775171 53.59946813343437, -113.56862549139096 53.60021538894252, -113.56879916364447 53.600748688102705, -113.56890751802798 53.6045693255761, -113.5696367216008 53.606451299571546, -113.56967489492361 53.606902800706536, -113.5695093308145 53.61457408924327, -113.56581677238202 53.61461825082522, -113.55350918930938 53.61462732038055, -113.55113346959041 53.614619242179536, -113.55071002331303 53.61465667009364, -113.55047329979381 53.61469782259634, -113.54975881311496 53.614822024862185, -113.54896014289929 53.61506423895728, -113.54633407439128 53.61617640283437, -113.54491790449082 53.61667885759195, -113.54412523666983 53.61685101552969, -113.54322486187296 53.616944391354515, -113.5412231577755 53.616960690157796, -113.54128799979458 53.60670800577211, -113.54128562710004 53.60655607837937, -113.54130000000683 53.60416100547302, -113.54117499981734 53.599473005106745)))"
2021,528,Ottewell,7528,528,Ottewell,JR,Gr 7-9,9435 - 73 Street NW,Edmonton,T6B2A9,http://ottewell.epsb.ca,ottewell@epsb.ca,(780) 466-7331,-113.4392838,53.53159937,South Central,EPSB WARD G,TRUE,"MULTIPOLYGON (((-113.43253317497509 53.52523333311474, -113.4429031770004 53.52522619832367, -113.44286846868233 53.52685528381871, -113.44300248904256 53.537533144099804, -113.43491145028293 53.53750073834134, -113.43322086329765 53.537546396181796, -113.43219200506351 53.53765984198454, -113.43203385079862 53.537699139069005, -113.43068939605513 53.538033191567386, -113.42711513051619 53.53952897570699, -113.42663094205678 53.539694673663014, -113.42575444105356 53.53999462061762, -113.42538686398231 53.54012040566948, -113.42414349155652 53.54047639643432, -113.42375560636613 53.54056428877123, -113.42347695164914 53.540640110738096, -113.4231701444424 53.540723591666215, -113.42106602896314 53.54117554971276, -113.42090769556646 53.54120955733226, -113.4196732057847 53.54117514768814, -113.41855364816885 53.541143930535426, -113.41865551275086 53.52674765588014, -113.43254493826973 53.526808601098296, -113.43253317497509 53.52523333311474)))"
2021,182,Windsor Park,7182,182,Windsor Park,EL,K to Gr 6,8720 - 118 Street NW,Edmonton,T6G1T5,http://windsorpark.epsb.ca/,windsor@epsb.ca,(780) 433-3924,-113.5348681,53.52393016,South Central,EPSB WARD F,TRUE,"MULTIPOLYGON (((-113.52240347863153 53.516468032284436, -113.52310062467711 53.51627692325637, -113.52433096603187 53.516309595827785, -113.52571762949232 53.51653461287791, -113.52630318643139 53.516629627063985, -113.53652065591007 53.518287008702735, -113.5429384982376 53.51966220540861, -113.54294281272692 53.51966312769321, -113.54340895218152 53.52036630410437, -113.54348377549465 53.52043814195262, -113.54385473778028 53.520794300032115, -113.54409547804575 53.52102542762574, -113.54550428678637 53.522063225116, -113.54688637246838 53.52279736739318, -113.54706953997993 53.522894661115465, -113.54796311421484 53.52325241989114, -113.54869899254908 53.52354703144562, -113.55210733398773 53.52491146385482, -113.55336244942492 53.52557607914479, -113.554728569961 53.52657249694369, -113.55594429908484 53.52774021681143, -113.55710780001856 53.529354470899115, -113.55716392380329 53.529432334048934, -113.55719798447738 53.52952469167736, -113.55759192620464 53.53059283296264, -113.55761625753753 53.53187191469226, -113.55740220167675 53.5328674458479, -113.55702723307374 53.53387970103176, -113.55693451269615 53.53403222919865, -113.55658194757495 53.53461219720288, -113.55606472312044 53.535104858740006, -113.55550462684154 53.535638339328514, -113.55504639150642 53.53607478628084, -113.55484714100615 53.5361915753355, -113.55425228638923 53.536540239469915, -113.55403229274316 53.53666918338492, -113.55180759033163 53.53745229469491, -113.54984295823444 53.53775407343294, -113.54751697759758 53.53799542961883, -113.5446049282184 53.53806775259011, -113.54267788503213 53.537956922384865, -113.54083484495207 53.53754336578564, -113.53877255891194 53.53689582487511, -113.53876461728251 53.536892471221, -113.5361236040356 53.53578123028872, -113.53445125874649 53.53507749997646, -113.52944325147985 53.53296982901336, -113.52840781706777 53.532573816987515, -113.52760648872201 53.53234746936053, -113.52693385873563 53.53215746896318, -113.52573563352689 53.53186639321972, -113.52468532792 53.53167061778251, -113.5219114216309 53.53130897022574, -113.52091135719748 53.53117857216978, -113.52075058226606 53.518102033789106, -113.52113137612852 53.51781578431935, -113.52188297612607 53.5167303518412, -113.52240347863153 53.516468032284436)))"
2021,136,Inglewood,7136,136,Inglewood,EL,K to Gr 6,11515 - 127 Street NW,Edmonton,T5M0V4,http://inglewood.epsb.ca,inglewood@epsb.ca,(780) 455-4673,-113.5404654,53.56608735,Central,EPSB WARD C,TRUE,"MULTIPOLYGON (((-113.53109314435747 53.570297523961514, -113.53108974246885 53.558907947535495, -113.55140312399213 53.558904107485446, -113.55142362979022 53.563713070122034, -113.55132798988144 53.56398872416421, -113.54981899949014 53.565782147915066, -113.54955399707231 53.56631355928832, -113.54951100902068 53.56951060426242, -113.54950882947062 53.56967264870006, -113.54960067823734 53.56984748822873, -113.54971294448391 53.57006118879419, -113.54962542431007 53.57004747027198, -113.54947404853239 53.57002374349577, -113.54925473751321 53.57001876946003, -113.54917938201176 53.57003017084151, -113.54904098645163 53.57005111127115, -113.54899075643628 53.57005871093595, -113.54811396746214 53.57029007571556, -113.54451158609153 53.570307622288865, -113.5442671452466 53.570308809332545, -113.54117052479393 53.57032379937248, -113.5361276946354 53.570310757122684, -113.53598260190661 53.570310378645246, -113.53444819235662 53.570306366276554, -113.53109314435747 53.570297523961514)), ((-113.51273758778112 53.57057585887517, -113.5122486826092 53.562455879289054, -113.53033884436486 53.57014889186309, -113.53094740565793 53.5702971377435, -113.530960148762 53.58067754514128, -113.52692854091087 53.580739854351336, -113.52569498759759 53.58075811743622, -113.52570711384146 53.57999977250764, -113.5260533098968 53.57943798536077, -113.51273758778112 53.57057585887517)))"
