Name,Type,Threshold,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Value_45,Value_46,Value_47,Value_48,Value_49
List_74,sumList,5.722594121,29,15,63,31,59,71,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_75,sumList,-84.30882131,92,26,94,59,71,71,96,77,18,98,68,24,43,79,37,10,11,50,57,80,98,96,83,77,64,,,,,,,,,,,,,,,,,,,,,,,,,
List_76,meanList,-494.4375591,30,16,13,71,2,73,32,12,63,76,9,8,68,12,37,81,82,25,66,83,99,5,60,55,4,30,64,43,24,92,4,73,65,15,,,,,,,,,,,,,,,,
List_77,stdList,-1.623627612,65,37,10,24,24,64,63,98,12,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_78,meanList,-4.668684234,57,6,13,88,40,43,27,100,2,53,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_79,stdList,102.8793154,19,5,13,40,61,92,53,70,3,47,4,26,94,76,71,83,81,13,14,61,85,6,95,30,57,3,95,,,,,,,,,,,,,,,,,,,,,,,
List_80,sumList,-1481.240073,17,4,73,33,90,76,73,53,42,34,9,90,59,55,87,77,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_81,sumList,65.14514958,3,41,38,76,76,86,17,43,87,99,80,25,72,49,78,99,13,15,27,7,8,71,2,32,65,98,56,65,18,41,53,55,27,14,8,94,12,38,25,79,60,87,57,52,5,26,44,92,,
List_82,meanList,572.8591765,2,86,82,96,76,39,75,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_83,stdList,-815.9969876,28,97,42,90,10,3,81,16,56,74,17,58,63,93,9,13,97,62,94,77,21,98,80,27,40,60,17,63,70,70,42,,,,,,,,,,,,,,,,,,,
List_84,stdList,41.30221944,35,17,62,49,10,95,45,76,49,68,76,58,96,89,20,82,25,31,72,43,2,26,17,35,,,,,,,,,,,,,,,,,,,,,,,,,,
List_85,sumList,-10.67485156,16,46,73,82,61,88,89,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_86,sumList,-127.6513373,98,76,23,20,58,22,97,13,49,78,52,73,13,41,5,36,95,60,8,29,73,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_87,meanList,96.65064839,7,82,88,7,33,32,61,29,8,75,14,74,71,16,97,96,84,14,24,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_88,meanList,68.58127765,3,43,18,24,19,60,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_89,stdList,46.21136538,24,39,61,2,59,48,73,27,64,87,6,93,96,2,89,82,46,68,10,73,39,96,16,88,51,100,36,89,37,79,62,93,64,94,23,74,87,29,99,7,20,46,72,75,38,,,,,
List_90,stdList,-3197.517328,99,23,63,8,21,41,83,12,60,19,12,17,13,67,86,94,87,31,21,73,68,47,59,15,8,65,53,17,63,60,9,76,,,,,,,,,,,,,,,,,,
List_91,sumList,38.84092414,98,1,8,89,49,34,70,36,95,29,53,6,5,87,25,14,56,49,85,31,86,40,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_92,stdList,282.0337015,82,84,19,96,46,28,81,45,48,38,23,91,21,27,15,78,64,72,16,8,38,7,32,59,77,67,45,58,67,61,59,47,24,85,51,,,,,,,,,,,,,,,
List_93,sumList,-12.70595846,45,68,13,30,62,95,24,66,51,53,6,95,92,3,12,77,80,45,78,99,46,59,42,37,48,100,,,,,,,,,,,,,,,,,,,,,,,,
List_94,meanList,93.93425704,49,42,97,59,25,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_95,sumList,61.57280291,32,23,55,95,53,37,56,72,69,52,56,53,64,25,52,95,28,26,4,6,43,43,28,79,4,82,95,33,,,,,,,,,,,,,,,,,,,,,,
List_96,stdList,-47.3863972,79,61,45,46,77,74,12,25,45,47,68,52,81,9,29,49,90,41,70,73,20,69,40,98,94,12,97,61,95,55,1,40,75,29,9,62,51,82,29,81,31,87,3,91,18,93,65,53,,
List_97,stdList,36.05515987,87,2,48,90,72,73,55,26,55,14,79,72,65,17,59,60,14,55,7,21,35,93,56,31,33,81,10,,,,,,,,,,,,,,,,,,,,,,,
List_98,stdList,37.87506232,77,89,79,100,86,96,13,9,41,17,57,56,91,7,94,37,73,31,57,94,1,18,68,8,,,,,,,,,,,,,,,,,,,,,,,,,,
List_99,meanList,169.5188136,96,37,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_100,meanList,-3.433148024,40,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_101,meanList,57.87349708,22,49,98,47,78,49,62,4,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_102,meanList,28.46681644,29,80,87,73,16,8,59,1,23,40,14,45,79,55,91,51,82,50,36,70,5,91,10,63,10,5,45,54,28,61,83,75,10,56,51,52,75,44,56,83,69,83,85,3,14,,,,,
List_103,stdList,7.190637862,7,29,60,66,72,23,29,64,74,21,29,82,64,16,55,82,3,45,83,42,20,62,52,65,11,75,25,,,,,,,,,,,,,,,,,,,,,,,
List_104,stdList,-37.02065476,9,54,52,7,34,54,87,97,36,10,6,26,66,77,7,22,67,76,60,27,56,1,93,29,43,79,4,32,69,48,1,94,40,1,59,46,36,94,14,2,22,48,46,43,7,,,,,
List_105,sumList,82.62386107,93,42,41,58,100,22,70,74,73,53,5,60,86,65,5,59,35,13,29,30,83,60,100,2,55,94,31,73,30,87,100,7,34,35,90,100,100,30,60,98,,,,,,,,,,
List_106,stdList,4.539985282,91,56,96,46,76,23,55,53,63,31,90,4,99,48,44,26,54,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_107,meanList,-13.5651841,55,25,74,34,12,36,54,75,19,90,24,76,54,53,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_108,sumList,-15.87319201,61,31,100,63,44,19,52,48,19,55,27,5,44,25,29,33,64,2,22,28,76,75,35,62,92,11,68,28,55,22,72,23,79,11,79,22,76,25,73,11,74,77,68,31,10,25,,,,
List_109,sumList,31.58588923,60,16,40,99,40,23,97,2,100,63,31,39,42,13,60,55,6,79,14,18,68,1,43,34,,,,,,,,,,,,,,,,,,,,,,,,,,
List_110,meanList,110.2040203,17,80,53,68,39,94,49,58,22,68,12,62,81,3,40,2,96,30,92,4,7,65,90,34,,,,,,,,,,,,,,,,,,,,,,,,,,
List_111,sumList,-806.4306441,74,89,13,57,98,10,49,73,99,90,13,87,70,18,72,63,16,67,87,6,20,19,15,79,81,20,,,,,,,,,,,,,,,,,,,,,,,,
List_112,meanList,1121.665961,74,80,57,89,27,7,96,38,10,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_113,stdList,2533.045268,36,68,54,7,21,96,87,65,96,93,8,75,39,50,46,91,12,100,4,16,62,85,8,86,33,4,81,29,11,51,79,55,80,86,2,91,31,82,20,84,83,78,,,,,,,,
List_114,meanList,127.651464,13,32,7,13,10,46,41,40,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_115,stdList,82.81143948,18,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_116,stdList,39.98374349,29,80,26,24,47,96,64,16,57,70,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_117,sumList,1852.661468,72,28,34,14,51,47,69,86,40,15,70,45,73,93,68,70,33,93,98,18,78,8,62,69,28,45,82,56,43,59,16,29,59,26,9,76,21,97,54,78,88,35,59,92,91,64,71,1,78,7
List_118,sumList,29.52801468,40,26,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_119,stdList,34.40507395,5,49,27,47,50,95,84,92,53,57,71,25,32,97,20,21,43,14,96,37,46,86,9,38,91,2,,,,,,,,,,,,,,,,,,,,,,,,
List_120,stdList,3.631079555,94,87,68,39,96,62,4,70,9,24,78,14,61,90,3,53,5,33,88,85,1,14,60,68,26,14,17,98,13,22,2,,,,,,,,,,,,,,,,,,,
List_121,stdList,1117.358088,73,61,85,98,56,45,41,35,83,20,81,50,14,81,59,23,63,43,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_122,stdList,1138.881411,88,76,68,28,52,77,4,37,43,17,79,26,24,56,11,7,87,46,30,18,63,100,87,91,100,85,17,86,60,38,77,26,78,71,,,,,,,,,,,,,,,,
List_123,stdList,6.798117428,9,37,20,91,43,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_124,meanList,-15.93426952,13,62,10,85,75,73,75,27,20,76,77,76,95,32,80,45,56,40,4,93,91,12,40,14,28,16,96,77,94,15,61,7,17,6,96,32,1,50,97,81,48,79,4,22,81,48,,,,
List_125,meanList,-1420.24806,92,70,86,15,43,12,4,52,28,27,96,57,40,7,24,20,69,20,19,51,35,20,70,43,59,45,30,11,9,37,1,34,36,14,35,95,67,6,73,24,51,28,91,87,34,97,3,66,,
List_126,stdList,24.46764788,2,29,13,16,14,60,42,31,2,18,14,44,100,22,60,31,27,33,89,71,53,19,27,9,35,44,62,24,39,98,,,,,,,,,,,,,,,,,,,,
List_127,meanList,93.97664145,3,89,17,39,98,60,81,18,62,85,44,55,54,47,92,100,25,19,42,45,83,9,5,9,77,88,95,59,39,15,34,79,39,42,,,,,,,,,,,,,,,,
List_128,meanList,17.77815382,1,62,41,22,37,84,90,27,13,85,46,40,16,35,24,71,21,83,44,98,72,96,40,39,76,18,37,89,2,26,34,68,59,70,61,,,,,,,,,,,,,,,
List_129,stdList,36.29201029,8,35,45,45,91,34,75,53,30,40,93,72,78,2,89,90,64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_130,meanList,24.39842831,56,5,18,91,68,59,54,52,53,27,45,48,21,47,6,15,34,53,17,34,21,88,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_131,meanList,-27.8056369,35,20,97,38,99,71,69,67,45,50,4,37,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_132,stdList,-19.65415988,96,92,60,33,19,91,90,65,63,63,2,13,16,90,85,12,87,97,96,40,3,73,68,39,39,29,62,26,24,73,27,75,78,11,17,23,3,86,64,25,6,88,76,74,18,93,,,,
List_133,sumList,-362.0742972,55,57,51,27,41,30,64,32,51,47,23,15,92,27,26,73,10,11,50,56,12,28,5,87,50,98,72,96,38,8,26,42,99,22,64,5,64,57,62,18,96,72,61,79,51,83,32,,,
List_134,meanList,20.73693867,88,49,67,74,29,76,76,23,1,63,2,19,59,73,68,64,98,6,34,80,29,43,85,71,9,11,98,,,,,,,,,,,,,,,,,,,,,,,
List_135,meanList,59.87054663,24,23,25,9,21,88,59,73,100,89,2,12,81,30,50,91,82,64,1,27,61,26,9,7,4,69,1,70,87,96,91,78,34,17,76,58,77,12,9,,,,,,,,,,,
List_136,stdList,-75.62273169,71,82,83,85,33,31,56,96,21,65,20,94,73,64,3,47,5,37,34,39,96,23,79,89,74,54,6,1,40,40,39,74,48,79,37,89,16,15,,,,,,,,,,,,
List_137,sumList,-39.25954268,57,15,34,44,47,37,21,34,34,97,70,37,52,99,68,32,50,46,82,72,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_138,stdList,911.8599158,31,90,21,23,14,42,54,54,11,65,27,3,1,72,86,81,63,25,100,39,63,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_139,sumList,-1.613122891,89,21,61,45,74,21,88,72,48,86,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_140,stdList,-13.19330412,84,59,94,72,3,78,54,47,54,82,26,26,29,23,82,12,27,81,86,44,6,24,52,6,63,28,16,86,87,49,76,98,52,78,70,46,6,76,42,52,10,50,,,,,,,,
List_141,sumList,9.739161259,30,11,86,92,72,50,46,19,86,65,59,7,34,78,97,95,7,90,3,86,43,97,66,18,10,47,9,16,100,81,23,81,87,18,78,,,,,,,,,,,,,,,
List_142,sumList,994.7496843,40,70,62,55,70,59,69,85,66,16,77,6,33,52,56,56,21,59,100,86,5,39,48,51,73,12,79,15,68,59,32,86,93,22,55,15,50,,,,,,,,,,,,,
List_143,stdList,3687.725586,35,69,73,47,84,85,84,68,95,81,16,59,64,7,34,76,21,96,66,78,50,29,71,54,91,62,58,4,92,55,8,13,61,87,73,82,9,12,71,,,,,,,,,,,
List_144,stdList,-32.29371519,95,43,16,98,33,54,11,12,75,63,79,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_145,sumList,-56.68262767,52,9,14,60,55,5,6,83,88,35,51,27,37,16,10,87,15,33,69,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_146,meanList,-8.194156734,46,70,78,39,33,100,99,60,82,4,15,37,60,86,90,27,15,11,94,34,87,20,43,4,53,13,57,50,26,57,29,3,49,72,100,44,44,,,,,,,,,,,,,
List_147,meanList,-875.0836739,91,38,44,42,95,52,80,86,35,14,41,59,24,48,15,98,55,75,79,13,86,35,30,22,42,2,60,4,94,38,33,27,99,87,62,70,61,65,12,,,,,,,,,,,
